# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Apr  7 19:42:14 IST 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 67.5324675325% of the time at utterance begin.  This may not be optimal.
Overall, e_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.0,35) frames.
Overall, NG_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, b_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, @_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, w_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,18) frames.
Overall, n_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,18.6,62) frames.
Overall, a_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, o_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,8) frames.
Overall, u_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.0,54) frames.
Overall, p_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.0,32) frames.
Overall, aj_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.8,25) frames.
Overall, NG_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, dZ_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.7,33) frames.
Overall, t_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, NJ_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.0,34) frames.
Overall, u_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,22) frames.
Overall, m_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, l_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, @_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
The optional-silence phone SIL occupies 11.9% of frames overall 
Limiting the stats to the 94.1% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 7.4% of frames.
Assuming 100 frames per second, the alignments represent 0.4 hours of data, or 0.3 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 1.7% of utterance-internal phones, with duration (median, mean, 95-percentile) = (32,34.7,63)
# Accounting: time=2 threads=1
# Ended (code 0) at Fri Apr  7 19:42:16 IST 2017, elapsed time 2 seconds
